timestamp,tweet_text,all_hashtags,followers_count,retweet_count,likes,reply_count
2022-11-28 16:58:06+00:00,b'Team Hudson had an absolute blast at @bellowheaduk\xe2\x80\x99s Sheffield show last night. Have a great last night of the tour guys #reassembled https://t.co/StjsfE3l7o',['reassembled'],1622,0,0
2022-11-28 16:58:05+00:00,"b""@FluffyAnnabelle @Timt1986T The projection is off the charts from that guy. Nothing is more narcissistic than thinking you were hand designed by a perfect being with a magical purpose to live forever in paradise, and that you have knowledge of absolute truth, that the world's greatest scientists don't have.""",[],2396,0,0
2022-11-28 16:58:03+00:00,"b'@PokemonGoApp The German translation for this Season is an absolute mess. It gets better in English, but the depictured Pokemon is still not a Dusclops. https://t.co/cftxnozBgh'",[],22,0,0
2022-11-28 16:57:57+00:00,b'tested negative for COVID but I feel like absolute dog shit',[],520,0,0
2022-11-28 16:57:57+00:00,"b'Absolute nonsense Tom - why should the ordinary taxpayers subsidise other parents private fees. If it\xe2\x80\x99s the overall Bill why can\xe2\x80\x99t the schools lower the bill and then VAT is paid. It\xe2\x80\x99s outrageous - do the private parents pay our VAT on legal fees, food etc etc @LBC'",[],6166,0,0
2022-11-28 16:57:56+00:00,"b'Starting the week with the absolute hubris of labelling a mix as FINAL and bouncing instrumentals, etc.'",[],922,0,1
2022-11-28 16:57:52+00:00,"b'Say hello to my absolute food nightmare in one pot. My dad said pretty, pretty please. So I cook different meals for us today. https://t.co/dG1a7aeQnU'",[],817,0,0
2022-11-28 16:57:49+00:00,b'@paceytop @nigel72598688 @Little_Cinders2 @AvaSantina So you cry over covid and try and insult a toddler \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 and then try taking the moral high ground. Absolute mong aren\xe2\x80\x99t you \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',[],1616,0,0
2022-11-28 16:57:48+00:00,"b""Can't wait to watch this again. Absolute favourite #LaurelAndHardy film \xf0\x9f\x8e\xa5. Have it on DVD, but need a new player, so haven't seen this for ages. Thankfully @TalkingPicsTV regularly shows #LaurelAndHardy. \xe2\x9d\xa4 \xe2\x9d\xa4 #StanAndOllie #WayOutWest #Classic https://t.co/H47EIuW5JN""","['LaurelAndHardy', 'LaurelAndHardy', 'StanAndOllie', 'WayOutWest', 'Classic']",358,0,0
2022-11-28 16:57:44+00:00,b'#FamilyCourt judges have to be some of the worst humans on Earth. I\xe2\x80\x99ve sat in with my friends on these types of cases. They are always the absolute worst. https://t.co/cpr3z0atkG',['FamilyCourt'],343,1,1
2022-11-28 16:57:41+00:00,b'@HansonsAuctions Am I right in saying that he has NEVER apologised to his ex wife and children? Ever? That\xe2\x80\x99s my issue with him. An absolute creep',[],17,0,0
2022-11-28 16:57:40+00:00,"b'@UtdJoao \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 nope, it\xe2\x80\x99s an absolute dump. It\xe2\x80\x99s a symbol of the Glaizer ownership era. Never been updated/modernised since they bought it. We\xe2\x80\x99re being left behind by clubs around us. Build a new stadium on the site and reduce the scale/size of the existing ground for women\xe2\x80\x99s/reserves.'",[],711,0,0
2022-11-28 16:57:39+00:00,b'The only good thing about this #brazilswitzerland game is @laura_woodsy in the studio! Absolute smoke show \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\xa4\xa4\xf0\x9f\xa4\xa4\xf0\x9f\xa4\xa4#WorldCup2022 #WorldcupQatar2022',"['brazilswitzerland', 'WorldCup2022', 'WorldcupQatar2022']",213,0,0
2022-11-28 16:57:38+00:00,"b""Overwatch 2 is in absolute fucking shambles. I'm playing on my lower level alt account, absolutely carrying and diffing so hard yet I have won 6 games and lost 17 games.   This is the most bullshit I've had in the 6 years I've played the game.""",[],25,0,0
2022-11-28 16:57:38+00:00,b'*lyrics from a song that only absolute losers like*',[],139,0,0
2022-11-28 16:57:36+00:00,b'@iafrinben absolute girlboss music \xf0\x9f\x92\x85\xf0\x9f\x92\x85',[],246,0,0
2022-11-28 16:57:36+00:00,b'Absolute banger of a track from...20+ years ago for your Monday: https://t.co/9OR9ScqRpG',[],1036,0,0
2022-11-28 16:57:33+00:00,b'@ryanqnorth @malki the look of absolute delight on Brandon\xe2\x80\x99s face is so good',[],593,0,0
2022-11-28 16:57:31+00:00,"b'@NickFondacaro What absolute BS....the Balenciaga ad campaign had nothing to do with drag shows &amp; everything to do with exploiting children into a world of sex.  Drag shows are gross &amp; inappropriate, the Balenciaga ad crossed a line that I never thought any 1 person would ever stand up for.'",[],607,0,0
